"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"English","SP_List2","3927406","L","V","Y",913,87.5
"English","SP_List2","3927406","S","H","N",698.5,100
"English","SP_List2","3927406","S","H","Y",659.5,100
"English","SP_List2","3927406","S","V","N",728,87.5
"English","SP_List2","3927406","S","V","Y",895.5,100
"English","SP_List2","4183262","L","H","N",674.010009765625,87.5
"English","SP_List2","4183262","L","H","Y",768.60009765625,87.5
"English","SP_List2","4183262","L","V","N",749.579833984375,87.5
"English","SP_List2","4183262","L","V","Y",701.717529296875,100
"English","SP_List2","4183262","S","H","N",690.69482421875,87.5
"English","SP_List2","4183262","S","H","Y",686.802368164062,100
"English","SP_List2","4183262","S","V","N",767.550048828125,62.5
"English","SP_List2","4183262","S","V","Y",771.927490234375,100
"English","SP_List2","444041","L","H","N",1105.74755859375,75
"English","SP_List2","444041","L","H","Y",885.742431640625,100
"English","SP_List2","444041","L","V","N",918.14013671875,87.5
"English","SP_List2","444041","L","V","Y",992.0849609375,75
"English","SP_List2","444041","S","H","N",862.859985351562,100
"English","SP_List2","444041","S","H","Y",1033.7626953125,100
"English","SP_List2","444041","S","V","N",984.222412109375,100
"English","SP_List2","444041","S","V","Y",883.784912109375,87.5
"English","SP_List2","4904002","L","H","N",603.594970703125,87.5
"English","SP_List2","4904002","L","H","Y",630.192504882812,100
"English","SP_List2","4904002","L","V","N",689.7900390625,87.5
"English","SP_List2","4904002","L","V","Y",621.62255859375,100
"English","SP_List2","4904002","S","H","N",623.650024414062,100
"English","SP_List2","4904002","S","H","Y",579.212524414062,100
"English","SP_List2","4904002","S","V","N",664.294921875,100
"English","SP_List2","4904002","S","V","Y",532.869995117188,100
"english","SP_List2","5549020","L","H","N",680.277465820312,100
"english","SP_List2","5549020","L","H","Y",645.599975585938,100
"english","SP_List2","5549020","L","V","N",941.784912109375,100
"english","SP_List2","5549020","L","V","Y",672.169921875,87.5
"english","SP_List2","5549020","S","H","N",668.232666015625,100
"english","SP_List2","5549020","S","H","Y",751.6650390625,100
"english","SP_List2","5549020","S","V","N",555.237548828125,100
"english","SP_List2","5549020","S","V","Y",701.89501953125,87.5
"english","SP_List2","5806513","L","H","N",744.775146484375,87.5
"english","SP_List2","5806513","L","H","Y",669.559814453125,87.5
"english","SP_List2","5806513","L","V","N",666.77001953125,87.5
"english","SP_List2","5806513","L","V","Y",655.944946289062,100
"english","SP_List2","5806513","S","H","N",685.880004882812,100
"english","SP_List2","5806513","S","H","Y",694.822509765625,100
"english","SP_List2","5806513","S","V","N",703.382446289062,100
"english","SP_List2","5806513","S","V","Y",695.97998046875,100
"English","SP_List2","5879769","L","H","N",861.83251953125,100
"English","SP_List2","5879769","L","H","Y",789.552490234375,100
"English","SP_List2","5879769","L","V","N",808.257446289062,75
"English","SP_List2","5879769","L","V","Y",815.72998046875,100
"English","SP_List2","5879769","S","H","N",731.8798828125,100
"English","SP_List2","5879769","S","H","Y",701.010009765625,100
"English","SP_List2","5879769","S","V","N",738.032470703125,100
"English","SP_List2","5879769","S","V","Y",825.75,87.5
"english","SP_List2","6539081","L","H","N",672.693115234375,100
"english","SP_List2","6539081","L","H","Y",561.68310546875,100
"english","SP_List2","6539081","L","V","N",619.845947265625,100
"english","SP_List2","6539081","L","V","Y",644.182373046875,100
"english","SP_List2","6539081","S","H","N",644.2822265625,87.5
"english","SP_List2","6539081","S","H","Y",564.820068359375,100
"english","SP_List2","6539081","S","V","N",490.873657226562,100
"english","SP_List2","6539081","S","V","Y",629.644775390625,100
"English","SP_List2","6590967","L","H","N",538.827514648438,75
"English","SP_List2","6590967","L","H","Y",523.472534179688,100
"English","SP_List2","6590967","L","V","N",655.5400390625,87.5
"English","SP_List2","6590967","L","V","Y",557.360107421875,100
"English","SP_List2","6590967","S","H","N",538.869873046875,100
"English","SP_List2","6590967","S","H","Y",483.724853515625,87.5
"English","SP_List2","6590967","S","V","N",584.549926757812,100
"English","SP_List2","6590967","S","V","Y",632.197509765625,100
"English","SP_List2","6807972","L","H","N",545.5,100
"English","SP_List2","6807972","L","H","Y",579,87.5
"English","SP_List2","6807972","L","V","N",552.5,100
"English","SP_List2","6807972","L","V","Y",602,100
"English","SP_List2","6807972","S","H","N",564,100
