"Lang","List","ID","Size","Match","RT","ACC"
"English","SP_List3","2081409","S","N",601.14013671875,68.75
"English","SP_List3","2081409","S","Y",596,81.25
"English","SP_List3","2138666","L","N",784.780029296875,81.25
"English","SP_List3","2138666","L","Y",889.137573242188,100
"English","SP_List3","2138666","S","N",794.340087890625,93.75
"English","SP_List3","2138666","S","Y",790.325073242188,100
"English","SP_List3","2805193","L","N",649,93.75
"English","SP_List3","2805193","L","Y",592.00244140625,87.5
"English","SP_List3","2805193","S","N",508.5,100
"English","SP_List3","2805193","S","Y",540.9951171875,93.75
"english","SP_List3","2891007","L","N",662.952392578125,100
"english","SP_List3","2891007","L","Y",605.282470703125,100
"english","SP_List3","2891007","S","N",521.302612304688,100
"english","SP_List3","2891007","S","Y",525.239990234375,93.75
"English","SP_List3","2942246","L","N",654.487548828125,100
"English","SP_List3","2942246","L","Y",698.669921875,93.75
"English","SP_List3","2942246","S","N",545.599853515625,100
"English","SP_List3","2942246","S","Y",696.45751953125,100
"english","SP_List3","4293320","L","N",639.235107421875,81.25
"english","SP_List3","4293320","L","Y",631.7900390625,93.75
"english","SP_List3","4293320","S","N",461.824951171875,81.25
"english","SP_List3","4293320","S","Y",493.14501953125,93.75
"english","SP_List3","4295409","L","N",898.175048828125,100
"english","SP_List3","4295409","L","Y",971.447387695312,87.5
"english","SP_List3","4295409","S","N",860.6201171875,100
"english","SP_List3","4295409","S","Y",692.9599609375,100
"english","SP_List3","4554146","L","N",729.0048828125,93.75
"english","SP_List3","4554146","L","Y",640,93.75
"english","SP_List3","4554146","S","N",578,81.25
"english","SP_List3","4554146","S","Y",558,100
"english","SP_List3","4850431","L","N",1004.5,87.5
"english","SP_List3","4850431","L","Y",1037.0048828125,93.75
"english","SP_List3","4850431","S","N",927,100
"english","SP_List3","4850431","S","Y",899.00244140625,100
"English","SP_List3","4950273","L","N",795.539916992188,100
"English","SP_List3","4950273","L","Y",760.0849609375,81.25
"English","SP_List3","4950273","S","N",657.8525390625,100
"English","SP_List3","4950273","S","Y",683.5849609375,93.75
"English","SP_List3","5076223","L","N",656.375,93.75
"English","SP_List3","5076223","L","Y",649.91259765625,87.5
"English","SP_List3","5076223","S","N",573.0751953125,93.75
"English","SP_List3","5076223","S","Y",572.072509765625,100
"English","SP_List3","538327","L","N",692.367065429688,87.5
"English","SP_List3","538327","L","Y",813.656372070312,100
"English","SP_List3","538327","S","N",694.823852539062,100
"English","SP_List3","538327","S","Y",686.85302734375,100
"English","SP_List3","5659376","L","N",557.520263671875,100
"English","SP_List3","5659376","L","Y",505.465087890625,93.75
"English","SP_List3","5659376","S","N",561.4150390625,93.75
"English","SP_List3","5659376","S","Y",610.7646484375,93.75
"english","SP_List3","5661038","L","N",770.549926757812,87.5
"english","SP_List3","5661038","L","Y",654.414916992188,100
"english","SP_List3","5661038","S","N",700.222534179688,87.5
"english","SP_List3","5661038","S","Y",688.385009765625,93.75
"English","SP_List3","5684590","L","N",1017.982421875,87.5
"English","SP_List3","5684590","L","Y",878.43017578125,81.25
"English","SP_List3","5684590","S","N",801.857543945312,87.5
"English","SP_List3","5684590","S","Y",792.825073242188,100
"English","SP_List3","6275750","L","N",744.00244140625,87.5
"English","SP_List3","6275750","L","Y",603.5,87.5
"English","SP_List3","6275750","S","N",526,100
"English","SP_List3","6275750","S","Y",544.99755859375,100
"English","SP_List3","6547204","L","N",775.727416992188,87.5
"English","SP_List3","6547204","L","Y",703.6650390625,93.75
"English","SP_List3","6547204","S","N",793.757568359375,100
"English","SP_List3","6547204","S","Y",721.835083007812,100
"English","SP_List3","6654387","L","N",673,81.25
"English","SP_List3","6654387","L","Y",735,81.25
"English","SP_List3","6654387","S","N",607.9951171875,93.75
"English","SP_List3","6654387","S","Y",603.49755859375,87.5
"English","SP_List3","670453","L","N",534.577514648438,100
"English","SP_List3","670453","L","Y",536.35498046875,93.75
"English","SP_List3","670453","S","N",455.150024414062,100
"English","SP_List3","670453","S","Y",496.472412109375,100
"english","SP_List3","7039984","L","N",615.655029296875,100
"english","SP_List3","7039984","L","Y",605.221557617188,100
"english","SP_List3","7039984","S","N",588.702392578125,100
"english","SP_List3","7039984","S","Y",519.06494140625,93.75
"english","SP_List3","7443356","L","N",713.150146484375,93.75
"english","SP_List3","7443356","L","Y",566.474975585938,75
"english","SP_List3","7443356","S","N",555.81494140625,93.75
"english","SP_List3","7443356","S","Y",578.239990234375,87.5
"English","SP_List3","7824252","L","N",778.295166015625,81.25
"English","SP_List3","7824252","L","Y",690.280029296875,93.75
"English","SP_List3","7824252","S","N",648.39501953125,93.75
"English","SP_List3","7824252","S","Y",696.81005859375,93.75
"English","SP_List3","8137192","L","N",733.075073242188,100
"English","SP_List3","8137192","L","Y",700.375,93.75
"English","SP_List3","8137192","S","N",615.132568359375,100
"English","SP_List3","8137192","S","Y",648.37255859375,100
"english","SP_List3","8921175","L","N",841.75244140625,75
"english","SP_List3","8921175","L","Y",799.905029296875,100
"english","SP_List3","8921175","S","N",716.425048828125,75
"english","SP_List3","8921175","S","Y",667.135009765625,68.75
