"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Item_index","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"english","Male","33","178408","SP_List4","3","L","H","Y","18","1502.340087890625","867.39501953125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","77","L","H","Y","19","957.260009765625","734.68505859375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","31","L","H","Y","20","1631.969970703125","1022.375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","102","L","H","Y","21","1324.605224609375","533.18505859375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","115","L","H","Y","22","856.72509765625","782.705078125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","55","L","H","Y","23","2016.105224609375","575.96484375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","68","L","H","Y","24","2305.669921875","978.525146484375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","14","L","H","N","25","1547.324951171875","698.35498046875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","47","L","H","N","26","1161.64013671875","716.505126953125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","95","L","H","N","27","663.35498046875","592.60498046875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","57","L","H","N","28","1465.940185546875","498.655029296875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","91","L","H","N","29","1070.97998046875","504.64501953125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","41","L","H","N","30","2387.2099609375","701.195068359375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","61","L","H","N","31","1469.02490234375","581.920166015625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","81","L","H","N","32","1063.344970703125","572.614990234375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","9","S","V","Y","33","2380.81005859375","663.830078125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","123","S","V","Y","34","1357.565185546875","461.31494140625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","67","S","V","Y","35","1647.375","439.635009765625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","39","S","V","Y","36","2236.580078125","870.53515625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","87","S","V","Y","37","1664.60498046875","548.35498046875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","78","S","V","Y","38","1907.05517578125","510.349853515625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","22","S","V","Y","39","2360.7451171875","1155.485107421875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","110","S","V","Y","40","903.445068359375","449.260009765625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","94","S","V","N","41","1075.635009765625","581.445068359375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","98","S","V","N","42","1028.025146484375","621.98486328125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","30","S","V","N","43","1686.85498046875","596.744873046875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","71","S","V","N","44","1172.300048828125","699.7900390625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","8","S","V","N","45","1729.48486328125","697.1650390625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","45","S","V","N","46","1472.445068359375","607.625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","103","S","V","N","47","962.619873046875","690.139892578125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","27","S","V","N","48","1462.130126953125","578.97998046875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","125","S","H","Y","49","868.550048828125","458.539794921875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","120","S","H","Y","50","931.97021484375","692.224853515625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","128","S","H","Y","51","708.705078125","499.235107421875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","51","S","H","Y","52","2000.77490234375","473.985107421875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","10","S","H","Y","53","2131.27490234375","680.60498046875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","60","S","H","Y","54","1389.514892578125","776.4150390625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","72","S","H","Y","55","1263.195068359375","617.385009765625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","4","S","H","Y","56","2187.97998046875","1157.635009765625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","116","S","H","N","57","841.320068359375","932.1298828125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","90","S","H","N","58","625.68994140625","500.155029296875",1,NA,"2016-12-07 15:16:18"
