"","List","ID","Size","Match","RT","ACC"
"378","List4","pilot1027095","L","Y",702.69482421875,94.4444444444444
"379","List4","pilot1027095","S","N",592.980224609375,92.8571428571429
"380","List4","pilot1027095","S","Y",611.0048828125,94.4444444444444
"381","List4","pilot1027096","L","N",606.699951171875,86.6666666666667
"382","List4","pilot1027096","L","Y",605,88.2352941176471
"383","List4","pilot1027096","S","N",524.490112304688,93.3333333333333
"384","List4","pilot1027096","S","Y",582.135009765625,100
"385","List4","pilot1027097","L","N",648,86.6666666666667
"386","List4","pilot1027097","L","Y",625.400146484375,100
"387","List4","pilot1027097","S","N",508.784912109375,93.75
"388","List4","pilot1027097","S","Y",544.030029296875,93.75
"389","List4","pilot1027098","L","N",657.387573242188,100
"390","List4","pilot1027098","L","Y",659.16259765625,93.75
"391","List4","pilot1027098","S","N",583.68505859375,81.25
"392","List4","pilot1027098","S","Y",474.9951171875,93.75
"393","List4","pilot1027099","L","N",638.672485351562,87.5
"394","List4","pilot1027099","L","Y",656.892456054688,100
"395","List4","pilot1027099","S","N",544.9951171875,93.75
"396","List4","pilot1027099","S","Y",558.904907226562,100
"397","List4","pilot1027100","L","N",709.99755859375,87.5
"398","List4","pilot1027100","L","Y",640,93.75
"399","List4","pilot1027100","S","N",562.0751953125,93.75
"400","List4","pilot1027100","S","Y",653,93.75
